"gid","osm_id","class_id","source","target","length","reverse","maxspeed_forward","maxspeed_backward","priority","geom"
"15599","893244797","112","1170839325","406094306","14.469687655890567","1",,,"2.5","LINESTRING(126.629003 45.7530894, 126.6288891 45.7530457)"
"15600","893824059","117","8307508742","8495992425","519.83361551757","1",,,"3","LINESTRING(126.7622358 45.7391561, 126.765059 45.738812, 126.7668381 45.7386043)"
"15601","893824062","110","8307508753","11161413124","23.668120658357495","1",,,"1.6","LINESTRING(126.759966 45.7410076, 126.7600201 45.7411511)"
"15602","893824062","110","11161413124","11202750157","474.2247946183359","1",,,"1.6","LINESTRING(126.7600201 45.7411511, 126.7610934 45.7440282)"
"15603","893824062","110","11202750157","8307508754","13.712920113509933","1",,,"1.6","LINESTRING(126.7610934 45.7440282, 126.7611244 45.7441114)"
"15604","893824062","110","8307508754","8307508755","744.7166135890293","1",,,"1.6","LINESTRING(126.7611244 45.7441114, 126.7628844 45.7486154)"
"15605","894074920","114","6313055364","8309859621","165.6088342561863","1",,,"5","LINESTRING(126.6974367 45.6672487, 126.6970041 45.6682434)"
"15606","894074920","114","8309859621","6313055359","355.42697845925153","1",,,"5","LINESTRING(126.6970041 45.6682434, 126.6960759 45.6703782)"
"15607","894074920","114","6313055359","8309827314","108.2771200686109","1",,,"5","LINESTRING(126.6960759 45.6703782, 126.695793 45.6710285)"
"15608","894074920","114","8309827314","6313055365","81.8333594374849","1",,,"5","LINESTRING(126.695793 45.6710285, 126.6955793 45.67152)"
"15609","894074920","114","6313055365","8309827316","104.1766457022849","1",,,"5","LINESTRING(126.6955793 45.67152, 126.6953073 45.6721457)"
"15610","894074920","114","8309827316","6313055366","54.8476771950983","1",,,"5","LINESTRING(126.6953073 45.6721457, 126.695164 45.6724751)"
"15611","894074921","114","6313055352","6313055349","275.32094899294094","1",,,"5","LINESTRING(126.6891254 45.6655498, 126.6914992 45.666035)"
"15612","894074921","114","6313055349","8309827312","236.98035821228547","1",,,"5","LINESTRING(126.6914992 45.666035, 126.6935424 45.6664527)"
"15613","894074921","114","8309827312","6313055353","88.91320228998214","1",,,"5","LINESTRING(126.6935424 45.6664527, 126.694309 45.6666094)"
"15614","894074921","114","6313055353","6313055354","162.86314520647545","1",,,"5","LINESTRING(126.694309 45.6666094, 126.6957132 45.6668964)"
"15615","894074921","114","6313055354","6313055364","199.89832197566113","1",,,"5","LINESTRING(126.6957132 45.6668964, 126.6974367 45.6672487)"
"15616","894074922","114","6313055366","6313055321","202.17144753166644","1",,,"5","LINESTRING(126.695164 45.6724751, 126.6934159 45.672131)"
"15617","894074922","114","6313055321","6313055336","228.96756925146195","1",,,"5","LINESTRING(126.6934159 45.672131, 126.6914361 45.6717413)"
"15618","894074922","114","6313055336","6313055283","138.62329216850713","1",,,"5","LINESTRING(126.6914361 45.6717413, 126.6902375 45.6715053)"
"15619","894074922","114","6313055283","8309827311","100.19896179854645","1",,,"5","LINESTRING(126.6902375 45.6715053, 126.6893711 45.6713348)"
"15620","894074922","114","8309827311","6313055319","112.03285458221572","1",,,"5","LINESTRING(126.6893711 45.6713348, 126.6884024 45.6711441)"
"15621","894074922","114","6313055319","6313055350","190.49375642172913","1",,,"5","LINESTRING(126.6884024 45.6711441, 126.6867553 45.6708198)"
"15622","894074923","114","6313055318","6313055319","162.1183877064639","1",,,"5","LINESTRING(126.6887133 45.6701499, 126.6884024 45.6711441)"
